timestamp,tweet_text,username,all_hashtags,followers_count,favorite_count,retweets_count,length_of_tweet
2020-06-22 17:35:49,b'#India became #Independent from British before 73 years ago but when will #GraminDakSewak #\xe0\xa4\x97\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xae\xe0\xa5\x80\xe0\xa4\xa3\xe0\xa4\xa1\xe0\xa4\xbe\xe0\xa4\x95\xe0\xa4\xb8\xe0\xa5\x87\xe0\xa4\xb5\xe0\xa4\x95 #\xe0\xa4\x9c\xe0\xa5\x80\xe0\xa4\xa1\xe0\xa5\x80\xe0\xa4\x8f\xe0\xa4\xb8 #GDS  got #Independence from British rule of #GDSEngagementRules and He breathe freely @narenderamodi_ @PMOIndia @smritiirani @ANI @aajtak @rsprasad @rajnathsingh https://t.co/l1lDaUOCeN',b'rawatvijaysing1',"['India', 'Independent', 'GraminDakSewak', 'ग्रामीणडाकसेवक', 'जीडीएस', 'GDS', 'Independence', 'GDSEngagementRules']",177,0,0,340
2020-06-22 17:35:28,"b""#galwan #india #china #boarderGalwan crisis may impact India's medium term outlook: Fitch Ratingshttps://t.co/IGRXYfyGmK""",b'djtradesaga',"['galwan', 'india', 'china', 'boarder']",314,1,0,120
2020-06-22 17:35:06,"b'#China goes for a trifecta: War w/ #India, a #cyberattack on #Australia and two Canadians charged with espionage because they were in China when the daughter of #Huawei\xe2\x80\x99s founder was arrested in Vancouver. Not actions of a \xe2\x80\x9cresponsible stakeholder in the liberal, global order.\xe2\x80\x9d'",b'clydeprestowitz',"['China', 'India', 'cyberattack', 'Australia', 'Huawei']",928,0,0,284
2020-06-22 17:35:03,b'#Chinese has made it clear that there is no going back from the present stationed positions. But #India is still optimistic for a Jadu Ki Jappi @baalegibreel @CivitasKashmir @BDUTT @AartiTikoo @majorgauravarya #Kashmir #Pakistan #ModiSurrendersToChina #IndianArmy @M_S_Beg https://t.co/3CzJwuTpAV',b'shafkatraina',"['Chinese', 'India', 'Kashmir', 'Pakistan', 'ModiSurrendersToChina', 'IndianArmy']",101,0,0,296
2020-06-22 17:34:58,b'Follow @pixelllmeme...#meme #memes #dailymemes #tarakmehtakaultachashma #tmkoc #tmkocmemes #tmkocfanclub #tmkocmeme  #jethalal #gada #jethalalgada #babita #anjali #india #kerala #karnataka #america #maharashtra\xe2\x80\xa6 https://t.co/7ipw0njjXa',b'PixeLllmeme',"['meme', 'memes', 'dailymemes', 'tarakmehtakaultachashma', 'tmkoc', 'tmkocmemes', 'tmkocfanclub', 'tmkocmeme', 'jethalal', 'gada', 'jethalalgada', 'babita', 'anjali', 'india', 'kerala', 'karnataka', 'america', 'maharashtra']",8,1,0,237
2020-06-22 17:34:54,"b'Rahul Gandhi tweeted: SURENDER MODI- well, in 2008, A secret deal happened- so now we know that he meant - I SURRENDERED, MODI! #Narendra #SurenderModi #Modi #BoycottChina #CongressInsultsArmy #Surrender Modi #Congress #IndiaStandWithArmyAndModi #India https://t.co/QaalM8ur0c'",b'ThedentalhubSA',"['Narendra', 'SurenderModi', 'Modi', 'BoycottChina', 'CongressInsultsArmy', 'Surrender', 'Congress', 'IndiaStandWithArmyAndModi', 'India']",767,0,0,276
2020-06-22 17:34:30,b'#SupremeCourt takes strong decision on #PuriJagannathRathYatra! #Puri #Jagannath #RathYatra #SC #India #Odisha #COVID19 #coronavirus#GalattaCareshttps://t.co/iHTZHqjuQD',b'galattadotcom',"['SupremeCourt', 'PuriJagannathRathYatra', 'Puri', 'Jagannath', 'RathYatra', 'SC', 'India', 'Odisha', 'COVID19', 'coronavirus', 'GalattaCares']",200130,5,2,168
2020-06-22 17:34:27,"b""Their is no point of having proud of  5th largest #economy.When the actual fact is, till present, we didn't tested even one percent #population of our country.#India#coronavirus #COVID #COVID19 #CovidTesting""",b'rishabh260995',"['economy', 'population', 'India', 'coronavirus', 'COVID', 'COVID19', 'CovidTesting']",35,0,0,207
2020-06-22 17:34:11,"b'@Cow__Momma Your profile contains hateful content towards #Hindus and #RSS. Also, you refer to #India as the ""Cow Belt"" which in turn means that you fail to see India as a secular country.Also, there is a link to your blog which had objectionable content.@TwitterIndia https://t.co/EznMxFxbJx'",b'this_speaking',"['Hindus', 'RSS', 'India']",6,0,0,292
2020-06-22 17:34:10,b'Do you think America provoking India to violate boundaries issue with China?. #China #india #GalwanValley',b'shamsjk',"['China', 'india', 'GalwanValley']",505,1,0,105
2020-06-22 17:34:06,"b'If you want to conquer the anxiety of life, live in the moment, live in the breath. \xf0\x9f\x92\xaf\xf0\x9f\x98\x8e#click #photography #instagram #photooftheday #nature #love #india #photo #instagood #photographer #picoftheday #like\xe2\x80\xa6 https://t.co/7GfL6fTmYB'",b'guptaanks01',"['click', 'photography', 'instagram', 'photooftheday', 'nature', 'love', 'india', 'photo', 'instagood', 'photographer', 'picoftheday', 'like']",108,1,0,236
2020-06-22 17:34:01,"b'@globaltimesnews #china gifted CORONA to the whole world.#INDIA gifted YOGA to the whole world.Difference is in basic of life &amp; culture. #china wants to kill the world &amp; #India meditate the world.#China captures others territory, #India help other to establish democracy &amp; rights #chinafears'",b'bharath_53',"['china', 'INDIA', 'china', 'India', 'China', 'India', 'chinafears']",21,0,0,303
2020-06-22 17:33:41,b'J&amp;K Bank Recruitment \xe2\x80\x93 1850 Probationary Officer &amp; Banking Associate Posts \xe2\x80\x93 Apply NowClick Below&gt;&gt;https://t.co/FOX0pv29Ou..#governmentjob #jobs2020 #applyonline #indiajobs #gujarat #mumbai #india\xf0\x9f\x87\xae\xf0\x9f\x87\xb3 #madhyapradesh #bangalore #delhi #indiafacts #indianknowledge #indiajobs #\xe2\x80\xa6 https://t.co/WskUv7TKDu',b'Govt_JobsAlerts',"['governmentjob', 'jobs2020', 'applyonline', 'indiajobs', 'gujarat', 'mumbai', 'india', 'madhyapradesh', 'bangalore', 'delhi', 'indiafacts', 'indianknowledge', 'indiajobs']",102,0,0,324
2020-06-22 17:33:22,"b""American demonstrations are due to racial discriminationBut no one dared to rise up against the Communist Party of China in the viral war that killed 100,000 people.The United States is still proud of being able to use China's APP insanely.They are worse than #India.#USA#ccp""",b'a0976205480',"['India', 'USA', 'ccp']",10,0,0,275
2020-06-22 17:33:14,"b'I accepted all the arguments. But if a celebrity has a child, is it not the fault of the child or the fault of the parents??? #India #Nepotism #Bollywood #SushanthSinghRajput #KaranJohar #SonamKapoor #AliaBhatt #SalmanKhan #ShahRukhKhan #TigerShroff #SonakshiSinha #Filmfare'",b'tousifaushesh',"['India', 'Nepotism', 'Bollywood', 'SushanthSinghRajput', 'KaranJohar', 'SonamKapoor', 'AliaBhatt', 'SalmanKhan', 'ShahRukhKhan', 'TigerShroff', 'SonakshiSinha', 'Filmfare']",3,1,0,274
2020-06-22 17:33:12,"b'#LobsengSangay President, Tibet Govt in exile makes a valid point that #China never had a border with #India as it was originally #Tibet which was forcefully taken over by #China https://t.co/dcf4VuHXgc'",b'gauaggbjp',"['LobsengSangay', 'China', 'India', 'Tibet', 'China']",685,0,0,202
2020-06-22 17:33:12,b'Chinese did a blunder by poking #India @CNNnews18',b'ashokgmbl',['India'],129,0,0,49
